step,reroute_no,aco_path,aco_edges,aco_cost,aco_time_ms,dij_path,dij_cost,route_changed,vehicles_rerouted
60,1,A → D → E → F → I,A2D D2E E2F F2I,1.266946,12.78,A → D → E → F → I,1.266946,True,0
120,2,A → D → E → F → I,A2D D2E E2F F2I,1.28629,12.6,A → D → E → F → I,1.28629,False,2
180,3,A → D → E → H → I,A2D D2E E2H H2I,1.28194,12.18,A → D → E → H → I,1.28194,True,4
240,4,A → B → E → F → I,A2B B2E E2F F2I,1.264988,13.82,A → B → E → F → I,1.264988,True,0
300,5,A → D → G → H → I,A2D D2G G2H H2I,1.245637,13.74,A → D → G → H → I,1.245637,True,0
360,6,A → D → G → H → I,A2D D2G G2H H2I,1.242833,13.48,A → D → G → H → I,1.242833,False,2
420,7,A → D → G → H → I,A2D D2G G2H H2I,1.255084,16.1,A → D → G → H → I,1.255084,False,4
480,8,A → D → E → F → I,A2D D2E E2F F2I,1.245302,13.38,A → D → E → F → I,1.245302,True,2
540,9,A → B → E → H → I,A2B B2E E2H H2I,1.236406,13.0,A → B → E → H → I,1.236406,True,0
600,10,A → D → G → H → I,A2D D2G G2H H2I,1.222665,12.24,A → D → G → H → I,1.222665,True,0
