time,edge,vehicles,speed,waiting,halting,traveltime,congestion
1,N2C,1,13.89,0.0,0,17.25,0.006
1,S2C,1,13.4615,0.0,0,17.8,0.0122
1,E2C,1,13.89,0.0,0,17.25,0.006
1,W2C,1,13.89,0.0,0,17.25,0.006
2,N2C,1,13.2784,0.0,0,18.04,0.0148
2,S2C,1,13.0561,0.0,0,18.35,0.018
2,E2C,1,13.5495,0.0,0,17.68,0.0109
2,W2C,1,13.4471,0.0,0,17.82,0.0124
3,N2C,1,13.2541,0.0,0,18.08,0.0152
3,S2C,1,13.2147,0.0,0,18.13,0.0157
3,E2C,1,13.4511,0.0,0,17.81,0.0123
3,W2C,1,13.8511,0.0,0,17.3,0.0066
4,N2C,2,13.3091,0.0,0,18.0,0.0204
4,S2C,2,11.7006,0.0,0,20.48,0.0435
4,E2C,2,13.5912,0.0,0,17.63,0.0163
4,W2C,2,12.8103,0.0,0,18.7,0.0275
5,N2C,2,13.8397,0.0,0,17.31,0.0127
5,S2C,2,11.4965,0.0,0,20.84,0.0465
5,E2C,2,13.5015,0.0,0,17.75,0.0176
5,W2C,2,11.8417,0.0,0,20.23,0.0415
6,N2C,2,13.7659,0.0,0,17.41,0.0138
6,S2C,2,11.3509,0.0,0,21.11,0.0486
6,E2C,2,13.4933,0.0,0,17.76,0.0177
6,W2C,2,12.137,0.0,0,19.74,0.0372
7,N2C,3,13.0955,0.0,0,18.3,0.0294
7,S2C,3,11.7712,0.0,0,20.35,0.0485
7,E2C,3,13.228,0.0,0,18.11,0.0275
7,W2C,3,12.6465,0.0,0,18.95,0.0359
8,N2C,3,12.9141,0.0,0,18.55,0.0321
8,S2C,3,11.6426,0.0,0,20.58,0.0504
8,E2C,3,13.2777,0.0,0,18.05,0.0268
8,W2C,3,12.4174,0.0,0,19.3,0.0392
9,N2C,3,12.9428,0.0,0,18.51,0.0316
9,S2C,3,11.6984,0.0,0,20.48,0.0496
9,E2C,3,13.1907,0.0,0,18.16,0.0281
9,W2C,3,12.5114,0.0,0,19.15,0.0379
10,N2C,4,13.1022,0.0,0,18.29,0.0353
10,S2C,4,12.1721,0.0,0,19.68,0.0487
10,E2C,4,13.4136,0.0,0,17.86,0.0309
10,W2C,4,12.7493,0.0,0,18.79,0.0404
11,N2C,4,13.2923,0.0,0,18.03,0.0326
11,S2C,4,12.1365,0.0,0,19.74,0.0492
11,E2C,4,13.1018,0.0,0,18.29,0.0353
11,W2C,4,12.8211,0.0,0,18.69,0.0394
12,N2C,4,13.1697,0.0,0,18.19,0.0344
12,S2C,4,12.0191,0.0,0,19.93,0.0509
12,E2C,4,13.2695,0.0,0,18.06,0.0329
12,W2C,4,12.5545,0.0,0,19.08,0.0432
13,N2C,5,13.0501,0.0,0,18.36,0.0421
13,S2C,5,12.3698,0.0,0,19.37,0.0519
13,E2C,5,12.8839,0.0,0,18.6,0.0445
13,W2C,5,12.7819,0.0,0,18.75,0.046
14,N2C,5,12.6391,0.0,0,18.96,0.048
14,S2C,5,12.1902,0.0,0,19.66,0.0545
14,E2C,5,12.7945,0.0,0,18.73,0.0458
14,W2C,5,12.7435,0.0,0,18.8,0.0465
15,N2C,5,12.7631,0.0,0,18.77,0.0462
15,S2C,5,12.0376,0.0,0,19.9,0.0567
15,E2C,5,13.0836,0.0,0,18.31,0.0416
15,W2C,5,12.5325,0.0,0,19.12,0.0495
16,N2C,6,12.8515,0.0,0,18.64,0.051
16,S2C,6,12.1842,0.0,0,19.66,0.0606
16,E2C,6,13.1949,0.0,0,18.16,0.046
16,W2C,6,12.7773,0.0,0,18.75,0.052
17,N2C,6,12.8486,0.0,0,18.65,0.051
17,S2C,6,12.0628,0.0,0,19.86,0.0623
17,E2C,6,13.2584,0.0,0,18.07,0.0451
17,W2C,6,12.6728,0.0,0,18.91,0.0535
18,N2C,6,13.1108,0.0,0,18.27,0.0472
18,S2C,6,12.1721,0.0,0,19.68,0.0607
18,E2C,6,12.6235,0.0,0,18.98,0.0542
18,W2C,6,12.1959,0.0,0,19.65,0.0604
19,N2C,6,12.5177,0.0,0,19.14,0.0558
19,S2C,7,12.0472,0.0,0,19.89,0.0685
19,E2C,7,12.1832,0.0,0,19.67,0.0666
19,W2C,7,12.0224,0.0,0,19.93,0.0689
20,N2C,6,12.2544,0.0,0,19.55,0.0596
20,S2C,7,12.1353,0.0,0,19.74,0.0673
20,E2C,7,11.2937,0.0,0,21.22,0.0794
20,W2C,7,11.0138,0.0,0,21.75,0.0834
21,N2C,6,12.4546,0.0,0,19.24,0.0567
21,S2C,6,12.1922,0.0,0,19.65,0.0604
21,E2C,7,10.7238,0.0,0,22.34,0.0876
21,W2C,7,10.6632,0.0,0,22.47,0.0885
22,N2C,6,12.6376,0.0,0,18.96,0.054
22,S2C,7,12.0115,0.0,0,19.95,0.069
22,E2C,8,10.5263,1.0,1,22.76,0.1031
22,W2C,8,11.0039,1.0,1,21.77,0.0962
23,N2C,6,12.2877,0.0,0,19.5,0.0591
23,S2C,7,12.0701,0.0,0,19.85,0.0682
23,E2C,8,9.8654,2.0,1,24.29,0.1133
23,W2C,8,11.1578,2.0,1,21.47,0.0947
24,N2C,6,12.4358,0.0,0,19.27,0.0569
24,S2C,7,12.1222,0.0,0,19.77,0.0675
24,E2C,8,9.2693,3.0,1,25.85,0.1225
24,W2C,8,10.1623,3.0,1,23.58,0.1097
25,N2C,7,12.8382,0.0,0,18.66,0.0571
25,S2C,8,12.3261,0.0,0,19.44,0.0705
