time,edge,vehicles,speed,waiting,halting,ns_green,ew_green,tls_mode
1,N2C,1,13.89,0.0,0,30,30,adaptive
1,S2C,1,13.4615,0.0,0,30,30,adaptive
1,E2C,1,13.89,0.0,0,30,30,adaptive
1,W2C,1,13.89,0.0,0,30,30,adaptive
2,N2C,1,13.2784,0.0,0,30,30,adaptive
2,S2C,1,13.0561,0.0,0,30,30,adaptive
2,E2C,1,13.5495,0.0,0,30,30,adaptive
2,W2C,1,13.4471,0.0,0,30,30,adaptive
3,N2C,1,13.2541,0.0,0,30,30,adaptive
3,S2C,1,13.2147,0.0,0,30,30,adaptive
3,E2C,1,13.4511,0.0,0,30,30,adaptive
3,W2C,1,13.8511,0.0,0,30,30,adaptive
4,N2C,1,13.3091,0.0,0,30,30,adaptive
4,S2C,1,12.8743,0.0,0,30,30,adaptive
4,E2C,1,13.5912,0.0,0,30,30,adaptive
4,W2C,1,13.602,0.0,0,30,30,adaptive
5,N2C,1,13.8625,0.0,0,30,30,adaptive
5,S2C,1,13.3115,0.0,0,30,30,adaptive
5,E2C,1,13.8108,0.0,0,30,30,adaptive
5,W2C,1,13.2412,0.0,0,30,30,adaptive
6,N2C,2,13.8031,0.0,0,30,30,adaptive
6,S2C,2,11.7102,0.0,0,30,30,adaptive
6,E2C,2,13.6898,0.0,0,30,30,adaptive
6,W2C,2,12.5964,0.0,0,30,30,adaptive
7,N2C,2,13.4104,0.0,0,30,30,adaptive
7,S2C,2,11.3526,0.0,0,30,30,adaptive
7,E2C,2,13.2218,0.0,0,30,30,adaptive
7,W2C,2,11.8569,0.0,0,30,30,adaptive
8,N2C,2,13.3023,0.0,0,30,30,adaptive
8,S2C,2,11.8723,0.0,0,30,30,adaptive
8,E2C,2,13.5268,0.0,0,30,30,adaptive
8,W2C,2,12.1313,0.0,0,30,30,adaptive
9,N2C,2,13.3133,0.0,0,30,30,adaptive
9,S2C,2,11.7414,0.0,0,30,30,adaptive
9,E2C,2,12.8992,0.0,0,30,30,adaptive
9,W2C,2,12.1066,0.0,0,30,30,adaptive
10,N2C,3,13.2035,0.0,0,30,30,adaptive
10,S2C,3,11.499,0.0,0,30,30,adaptive
10,E2C,3,13.6017,0.0,0,30,30,adaptive
10,W2C,3,12.7044,0.0,0,30,30,adaptive
11,N2C,3,12.8438,0.0,0,30,30,adaptive
11,S2C,3,11.8411,0.0,0,30,30,adaptive
11,E2C,3,12.9356,0.0,0,30,30,adaptive
11,W2C,3,12.8259,0.0,0,30,30,adaptive
12,N2C,3,12.9751,0.0,0,30,30,adaptive
12,S2C,3,11.5604,0.0,0,30,30,adaptive
12,E2C,3,13.2698,0.0,0,30,30,adaptive
12,W2C,3,12.665,0.0,0,30,30,adaptive
13,N2C,3,12.9886,0.0,0,30,30,adaptive
13,S2C,3,11.9473,0.0,0,30,30,adaptive
13,E2C,3,13.3958,0.0,0,30,30,adaptive
13,W2C,3,13.2152,0.0,0,30,30,adaptive
14,N2C,3,13.4264,0.0,0,30,30,adaptive
14,S2C,3,11.9448,0.0,0,30,30,adaptive
14,E2C,3,12.6987,0.0,0,30,30,adaptive
14,W2C,3,12.4401,0.0,0,30,30,adaptive
15,N2C,4,13.1579,0.0,0,30,30,adaptive
15,S2C,4,12.0678,0.0,0,30,30,adaptive
15,E2C,4,13.1619,0.0,0,30,30,adaptive
15,W2C,4,12.3391,0.0,0,30,30,adaptive
16,N2C,4,13.2134,0.0,0,30,30,adaptive
16,S2C,4,12.2687,0.0,0,30,30,adaptive
16,E2C,4,13.0741,0.0,0,30,30,adaptive
16,W2C,4,12.9562,0.0,0,30,30,adaptive
17,N2C,4,13.1621,0.0,0,30,30,adaptive
17,S2C,4,12.0242,0.0,0,30,30,adaptive
17,E2C,4,13.1352,0.0,0,30,30,adaptive
17,W2C,4,12.4136,0.0,0,30,30,adaptive
18,N2C,4,13.2159,0.0,0,30,30,adaptive
18,S2C,4,11.9925,0.0,0,30,30,adaptive
18,E2C,4,12.7811,0.0,0,30,30,adaptive
18,W2C,4,12.3832,0.0,0,30,30,adaptive
19,N2C,4,12.5079,0.0,0,30,30,adaptive
19,S2C,5,12.2654,0.0,0,30,30,adaptive
19,E2C,5,11.9981,0.0,0,30,30,adaptive
19,W2C,5,11.8628,0.0,0,30,30,adaptive
20,N2C,4,12.5681,0.0,0,30,30,adaptive
20,S2C,5,11.8019,0.0,0,30,30,adaptive
20,E2C,5,11.3951,0.0,0,30,30,adaptive
20,W2C,5,10.9014,0.0,0,30,30,adaptive
21,N2C,4,12.687,0.0,0,30,30,adaptive
21,S2C,4,11.6734,0.0,0,30,30,adaptive
21,E2C,5,10.4437,1.0,1,30,30,adaptive
21,W2C,5,10.1966,0.0,0,30,30,adaptive
22,N2C,4,12.6671,0.0,0,30,30,adaptive
22,S2C,4,11.9416,0.0,0,30,30,adaptive
22,E2C,5,10.3671,2.0,1,30,30,adaptive
22,W2C,5,10.2091,1.0,1,30,30,adaptive
23,N2C,4,12.58,0.0,0,30,30,adaptive
23,S2C,4,11.803,0.0,0,30,30,adaptive
23,E2C,5,9.8835,3.0,1,30,30,adaptive
23,W2C,5,10.0364,2.0,1,30,30,adaptive
24,N2C,4,13.0668,0.0,0,30,30,adaptive
24,S2C,5,12.2786,0.0,0,30,30,adaptive
24,E2C,6,9.902,4.0,1,30,30,adaptive
24,W2C,6,10.4037,3.0,1,30,30,adaptive
25,N2C,4,12.5197,0.0,0,30,30,adaptive
25,S2C,5,12.2547,0.0,0,30,30,adaptive
25,E2C,6,9.3533,5.0,1,30,30,adaptive
25,W2C,6,10.1712,4.0,1,30,30,adaptive
26,N2C,4,12.6756,0.0,0,30,30,adaptive
26,S2C,5,12.1193,0.0,0,30,30,adaptive
26,E2C,6,8.6087,7.0,2,30,30,adaptive
26,W2C,6,9.6949,5.0,1,30,30,adaptive
27,N2C,4,12.6692,0.0,0,30,30,adaptive
27,S2C,5,12.1858,0.0,0,30,30,adaptive
27,E2C,6,7.8554,9.0,2,30,30,adaptive
27,W2C,6,8.5535,6.0,1,30,30,adaptive
28,N2C,5,12.4724,0.0,0,30,30,adaptive
28,S2C,5,12.3723,0.0,0,30,30,adaptive
28,E2C,7,7.9514,11.0,2,30,30,adaptive
28,W2C,7,8.125,7.0,1,30,30,adaptive
29,N2C,4,12.5284,0.0,0,30,30,adaptive
29,S2C,5,12.1943,0.0,0,30,30,adaptive
29,E2C,7,7.5439,13.0,2,30,30,adaptive
29,W2C,7,7.1234,8.0,1,30,30,adaptive
30,N2C,4,12.2792,0.0,0,30,30,adaptive
30,S2C,5,12.2474,0.0,0,30,30,adaptive
30,E2C,7,7.2182,15.0,2,30,30,adaptive
30,W2C,7,7.122,10.0,2,30,30,adaptive
31,N2C,4,12.2232,0.0,0,30,30,adaptive
31,S2C,5,11.9141,0.0,0,30,30,adaptive
31,E2C,7,7.3252,18.0,3,30,30,adaptive
31,W2C,7,6.8519,13.0,3,30,30,adaptive
32,N2C,4,11.4984,0.0,0,30,30,adaptive
32,S2C,5,10.2826,0.0,0,30,30,adaptive
32,E2C,7,6.4555,21.0,3,30,30,adaptive
32,W2C,7,6.8962,16.0,3,30,30,adaptive
33,N2C,5,11.3846,0.0,0,30,30,adaptive
33,S2C,6,9.5163,0.0,0,30,30,adaptive
33,E2C,8,7.2208,24.0,3,30,30,adaptive
33,W2C,8,7.5353,19.0,3,30,30,adaptive
34,N2C,5,10.8087,0.0,0,30,30,adaptive
34,S2C,6,8.8422,1.0,1,30,30,adaptive
34,E2C,6,8.7748,4.0,1,30,30,adaptive
34,W2C,6,9.6035,4.0,1,30,30,adaptive
