time,edge,vehicles,speed,waiting,halting,traveltime,blocked,incident_active
1,N2C,1,13.89,0.0,0,17.25,0,0
1,S2C,1,13.4615,0.0,0,17.8,0,0
1,E2C,1,13.89,0.0,0,17.25,0,0
1,W2C,1,13.89,0.0,0,17.25,0,0
2,N2C,1,13.2784,0.0,0,18.04,0,0
2,S2C,1,13.0561,0.0,0,18.35,0,0
2,E2C,1,13.5495,0.0,0,17.68,0,0
2,W2C,1,13.4471,0.0,0,17.82,0,0
3,N2C,1,13.2541,0.0,0,18.08,0,0
3,S2C,1,13.2147,0.0,0,18.13,0,0
3,E2C,1,13.4511,0.0,0,17.81,0,0
3,W2C,1,13.8511,0.0,0,17.3,0,0
4,N2C,1,13.3091,0.0,0,18.0,0,0
4,S2C,1,12.8743,0.0,0,18.61,0,0
4,E2C,1,13.5912,0.0,0,17.63,0,0
4,W2C,1,13.602,0.0,0,17.61,0,0
5,N2C,1,13.8625,0.0,0,17.28,0,0
5,S2C,1,13.3115,0.0,0,18.0,0,0
5,E2C,1,13.8108,0.0,0,17.35,0,0
5,W2C,1,13.2412,0.0,0,18.09,0,0
6,N2C,1,13.8031,0.0,0,17.36,0,0
6,S2C,1,12.8839,0.0,0,18.6,0,0
6,E2C,1,13.6898,0.0,0,17.5,0,0
6,W2C,1,13.3881,0.0,0,17.9,0,0
7,N2C,2,13.4333,0.0,0,17.84,0,0
7,S2C,2,11.9939,0.0,0,19.98,0,0
7,E2C,2,13.5311,0.0,0,17.71,0,0
7,W2C,2,12.4648,0.0,0,19.22,0,0
8,N2C,2,13.3167,0.0,0,17.99,0,0
8,S2C,2,11.5903,0.0,0,20.67,0,0
8,E2C,2,13.4141,0.0,0,17.86,0,0
8,W2C,2,11.9828,0.0,0,20.0,0,0
9,N2C,2,13.5799,0.0,0,17.64,0,0
9,S2C,2,11.6703,0.0,0,20.53,0,0
9,E2C,2,13.3367,0.0,0,17.97,0,0
9,W2C,2,12.0873,0.0,0,19.82,0,0
10,N2C,2,13.197,0.0,0,18.16,0,0
10,S2C,2,11.4698,0.0,0,20.89,0,0
10,E2C,2,13.2185,0.0,0,18.13,0,0
10,W2C,2,12.0295,0.0,0,19.92,0,0
11,N2C,2,13.1782,0.0,0,18.18,0,0
11,S2C,2,11.8208,0.0,0,20.27,0,0
11,E2C,2,13.0628,0.0,0,18.34,0,0
11,W2C,2,12.6816,0.0,0,18.89,0,0
12,N2C,2,13.2545,0.0,0,18.08,0,0
12,S2C,2,11.8168,0.0,0,20.28,0,0
12,E2C,2,12.8905,0.0,0,18.59,0,0
12,W2C,2,12.3525,0.0,0,19.4,0,0
13,N2C,3,13.1981,0.0,0,18.15,0,0
13,S2C,3,11.8099,0.0,0,20.29,0,0
13,E2C,3,13.5755,0.0,0,17.65,0,0
13,W2C,3,12.8127,0.0,0,18.7,0,0
14,N2C,3,13.1721,0.0,0,18.19,0,0
14,S2C,3,11.8436,0.0,0,20.23,0,0
14,E2C,3,13.2434,0.0,0,18.09,0,0
14,W2C,3,13.1046,0.0,0,18.28,0,0
15,N2C,3,13.0999,0.0,0,18.29,0,0
15,S2C,3,11.9816,0.0,0,20.0,0,0
15,E2C,3,12.97,0.0,0,18.47,0,0
15,W2C,3,12.6323,0.0,0,18.97,0,0
16,N2C,3,13.1829,0.0,0,18.18,0,0
16,S2C,3,12.0093,0.0,0,19.95,0,0
16,E2C,3,12.9492,0.0,0,18.5,0,0
16,W2C,3,12.3232,0.0,0,19.44,0,0
17,N2C,3,12.8622,0.0,0,18.63,0,0
17,S2C,3,12.404,0.0,0,19.32,0,0
17,E2C,3,13.0574,0.0,0,18.35,0,0
17,W2C,3,13.0248,0.0,0,18.4,0,0
18,N2C,3,13.3597,0.0,0,17.93,0,0
18,S2C,3,12.0615,0.0,0,19.86,0,0
18,E2C,3,12.5404,0.0,0,19.11,0,0
18,W2C,3,12.7327,0.0,0,18.82,0,0
19,N2C,3,13.4566,0.0,0,17.81,0,0
19,S2C,4,12.0555,0.0,0,19.87,0,0
19,E2C,4,11.7903,0.0,0,20.32,0,0
19,W2C,4,11.5653,0.0,0,20.72,0,0
20,N2C,3,13.0629,0.0,0,18.34,0,0
20,S2C,3,12.0199,0.0,0,19.93,0,0
20,E2C,4,10.8034,0.0,0,22.18,0,0
20,W2C,4,10.3127,0.0,0,23.23,0,0
21,N2C,3,12.5029,0.0,0,19.16,0,0
21,S2C,3,11.5982,0.0,0,20.66,0,0
21,E2C,4,10.3476,0.0,0,23.16,0,0
21,W2C,4,9.2502,1.0,1,25.9,0,0
22,N2C,3,12.6749,0.0,0,18.9,0,0
22,S2C,3,11.8233,0.0,0,20.27,0,0
22,E2C,4,10.0934,1.0,1,23.74,0,0
22,W2C,4,9.4287,2.0,1,25.41,0,0
23,N2C,3,13.0228,0.0,0,18.4,0,0
23,S2C,3,11.9421,0.0,0,20.06,0,0
23,E2C,4,9.8997,2.0,1,24.2,0,0
23,W2C,4,9.1531,3.0,1,26.18,0,0
24,N2C,3,13.2306,0.0,0,18.11,0,0
24,S2C,3,11.6125,0.0,0,20.63,0,0
24,E2C,4,9.3489,3.0,1,25.63,0,0
24,W2C,4,9.2824,4.0,1,25.81,0,0
25,N2C,3,12.3883,0.0,0,19.34,0,0
25,S2C,4,11.943,0.0,0,20.06,0,0
25,E2C,5,9.1721,4.0,1,26.12,0,0
25,W2C,5,10.1008,5.0,1,23.72,0,0
26,N2C,3,12.3176,0.0,0,19.45,0,0
26,S2C,4,11.9483,0.0,0,20.05,0,0
26,E2C,5,8.3922,5.0,1,28.55,0,0
26,W2C,5,9.9118,6.0,1,24.17,0,0
27,N2C,3,12.4941,0.0,0,19.18,0,0
27,S2C,4,11.6563,0.0,0,20.56,0,0
27,E2C,5,7.8868,6.0,1,30.38,0,0
27,W2C,5,9.5091,7.0,1,25.2,0,0
28,N2C,3,12.6084,0.0,0,19.0,0,0
28,S2C,4,12.0997,0.0,0,19.8,0,0
28,E2C,5,7.8563,7.0,1,30.5,0,0
28,W2C,5,8.7801,8.0,1,27.29,0,0
29,N2C,3,12.3904,0.0,0,19.34,0,0
29,S2C,3,12.056,0.0,0,19.87,0,0
29,E2C,5,7.6199,9.0,2,31.44,0,0
29,W2C,5,7.7665,9.0,1,30.85,0,0
30,N2C,3,12.3025,0.0,0,19.48,0,0
30,S2C,3,12.4055,0.0,0,19.31,0,0
30,E2C,5,6.9451,11.0,2,34.5,0,0
30,W2C,5,6.9466,10.0,1,34.49,0,0
31,N2C,4,12.7335,0.0,0,18.82,0,0
31,S2C,4,12.6289,0.0,0,18.97,0,0
31,E2C,6,7.2157,13.0,2,33.21,0,0
31,W2C,6,7.3063,12.0,2,32.79,0,0
32,N2C,4,11.2115,0.0,0,21.37,0,0
32,S2C,4,12.6612,0.0,0,18.92,0,0
32,E2C,6,6.5014,15.0,2,36.85,0,0
32,W2C,6,6.1982,14.0,2,38.66,0,0
33,N2C,4,10.1851,0.0,0,23.52,0,0
33,S2C,4,12.2415,0.0,0,19.57,0,0
33,E2C,6,6.4592,18.0,3,37.09,0,0
33,W2C,6,6.2015,16.0,2,38.64,0,0
34,N2C,4,9.7249,1.0,1,24.64,0,0
34,S2C,4,11.3074,0.0,0,21.19,0,0
34,E2C,4,9.438,2.0,1,25.39,0,0
34,W2C,4,8.9861,1.0,1,26.66,0,0
35,N2C,4,9.4968,2.0,1,25.23,0,0
35,S2C,4,10.6058,0.0,0,22.59,0,0
35,E2C,4,10.1299,0.0,0,23.65,0,0
35,W2C,4,9.6454,0.0,0,24.84,0,0
36,N2C,4,8.9944,3.0,1,26.64,0,0
36,S2C,4,9.4392,1.0,1,25.38,0,0
36,E2C,4,10.366,0.0,0,23.11,0,0
36,W2C,4,10.2643,0.0,0,23.34,0,0
37,N2C,5,8.4155,4.0,1,28.47,0,0
37,S2C,5,8.9388,2.0,1,26.8,0,0
37,E2C,4,11.9226,0.0,0,20.1,0,0
37,W2C,4,12.5731,0.0,0,19.06,0,0
38,N2C,5,7.5705,5.0,1,31.65,0,0
38,S2C,5,8.2588,3.0,1,29.01,0,0
38,E2C,3,12.3811,0.0,0,19.35,0,0
38,W2C,4,12.0708,0.0,0,19.85,0,0
39,N2C,5,7.3522,6.0,1,32.59,0,0
39,S2C,5,7.151,5.0,2,33.51,0,0
39,E2C,3,12.6691,0.0,0,18.91,0,0
39,W2C,3,12.4682,0.0,0,19.22,0,0
40,N2C,5,7.363,8.0,2,32.54,0,0
40,S2C,5,7.397,7.0,2,32.39,0,0
40,E2C,3,12.4948,0.0,0,19.18,0,0
40,W2C,3,11.9706,0.0,0,20.02,0,0
41,N2C,5,7.243,10.0,2,33.08,0,0
41,S2C,5,7.4306,9.0,2,32.24,0,0
41,E2C,3,12.3543,0.0,0,19.39,0,0
41,W2C,3,12.7624,0.0,0,18.77,0,0
42,N2C,5,6.895,12.0,2,34.75,0,0
42,S2C,5,7.6462,11.0,2,31.34,0,0
42,E2C,3,12.7303,0.0,0,18.82,0,0
42,W2C,3,13.0866,0.0,0,18.31,0,0
43,N2C,6,8.2036,14.0,2,29.21,0,0
43,S2C,6,7.6832,13.0,2,31.18,0,0
43,E2C,4,12.6654,0.0,0,18.92,0,0
43,W2C,3,12.6844,0.0,0,18.89,0,0
44,N2C,6,8.0099,16.0,2,29.91,0,0
44,S2C,6,7.0089,15.0,2,34.19,0,0
